DEPARTURE_DAY_OF_YEAR,DEPARTURE_DAYTIME,DEP_DELAY,AIR_TIME,DISTANCE,YEAR OF MANUFACTURE,WIND_DIR,WIND_SPD,WIND_GUST,TEMPERATURE,REL_HUMIDITY,LOWEST_CLOUD_LAYER
1,06:57:00,-3,347,2475,2014,180.0,7.0,0.0,49.0,96.69,300.0
1,08:56:00,-4,148,1089,1999,130.0,5.0,0.0,49.0,96.69,1000.0
1,20:25:00,-5,329,2248,2013,160.0,4.0,0.0,53.0,96.03,400.0
1,18:54:00,-6,343,2475,2013,200.0,5.0,0.0,51.0,100.0,200.0
1,18:17:00,-3,155,1089,2010,200.0,5.0,0.0,51.0,100.0,200.0
1,17:56:00,1,229,1391,2014,180.0,8.0,0.0,51.0,100.0,300.0
1,09:23:00,78,89,541,2011,150.0,5.0,0.0,49.0,100.0,300.0
1,14:58:00,-1,146,1089,2006,180.0,9.0,0.0,51.0,100.0,300.0
1,10:54:00,-6,264,1746,2015,150.0,6.0,0.0,50.0,95.98,200.0
1,07:58:00,-1,147,1089,2000,160.0,4.0,0.0,49.0,100.0,200.0
1,21:27:00,0,152,1089,2015,160.0,5.0,0.0,52.0,100.0,300.0
1,08:56:00,-4,380,2586,2014,130.0,5.0,0.0,49.0,96.69,1000.0
1,16:25:00,0,145,1089,2006,190.0,9.0,0.0,50.0,100.0,300.0
1,09:50:00,105,225,1391,2016,150.0,5.0,0.0,49.0,100.0,300.0
1,06:27:00,-3,149,1089,2017,180.0,7.0,0.0,49.0,96.69,300.0
1,17:28:00,-2,362,2586,2014,180.0,8.0,0.0,51.0,100.0,300.0
1,06:30:00,0,336,2153,2010,180.0,7.0,0.0,49.0,96.69,300.0
1,10:07:00,7,373,2475,2014,150.0,6.0,0.0,50.0,95.98,200.0
1,06:35:00,35,93,541,2015,180.0,7.0,0.0,49.0,96.69,300.0
1,09:37:00,970,103,541,2014,150.0,5.0,0.0,49.0,100.0,300.0
1,18:24:00,-5,231,1521,2017,200.0,5.0,0.0,51.0,100.0,200.0
1,07:46:00,-4,144,740,2018,160.0,4.0,0.0,49.0,100.0,200.0
1,16:52:00,208,335,2153,2017,190.0,9.0,0.0,50.0,100.0,300.0
1,17:02:00,2,352,2475,2014,180.0,8.0,0.0,51.0,100.0,300.0
1,11:54:00,-6,351,2475,2014,180.0,6.0,0.0,50.0,100.0,300.0
1,16:13:00,13,367,2454,2014,190.0,9.0,0.0,50.0,100.0,300.0
1,11:57:00,-3,91,541,2001,180.0,6.0,0.0,50.0,100.0,300.0
1,11:06:00,-4,145,1089,2012,180.0,6.0,0.0,50.0,100.0,300.0
1,10:12:00,5,295,1894,2014,150.0,6.0,0.0,50.0,95.98,200.0
1,13:25:00,-5,144,1089,2013,0.0,0.0,0.0,51.0,100.0,400.0
1,06:58:00,-2,385,2586,2014,180.0,7.0,0.0,49.0,96.69,300.0
1,09:14:00,-11,182,1623,2013,150.0,5.0,0.0,49.0,100.0,300.0
2,08:14:00,14,347,2475,2014,140.0,8.0,0.0,53.0,96.03,500.0
2,09:00:00,0,156,1089,1999,330.0,7.0,0.0,51.0,100.0,400.0
2,20:29:00,-1,329,2248,2017,260.0,10.0,0.0,58.0,80.67,2000.0
2,19:26:00,-3,354,2475,2014,250.0,8.0,0.0,57.0,86.77,1800.0
2,18:20:00,0,159,1089,2018,240.0,9.0,0.0,54.0,96.76,1100.0
2,09:52:00,-3,161,1089,2018,330.0,7.0,0.0,51.0,100.0,400.0
2,19:47:00,-8,126,740,2017,250.0,8.0,0.0,57.0,86.77,1800.0
2,19:14:00,79,207,1391,2010,250.0,8.0,0.0,57.0,86.77,1800.0
2,19:04:00,5,103,541,1998,250.0,8.0,0.0,57.0,86.77,1800.0
2,08:16:00,11,95,541,2010,140.0,8.0,0.0,53.0,96.03,500.0
2,16:15:00,76,156,1089,2000,230.0,11.0,0.0,53.0,100.0,800.0
2,15:56:00,-4,319,2153,2009,230.0,10.0,0.0,52.0,100.0,300.0
2,13:15:00,135,279,1746,2014,260.0,5.0,0.0,51.0,100.0,200.0
2,07:58:00,-1,156,1089,2002,0.0,3.0,0.0,53.0,96.03,400.0
2,22:27:00,-3,35,187,2014,360.0,11.0,0.0,50.0,86.06,3800.0
2,06:04:00,4,348,2475,2014,50.0,5.0,0.0,53.0,100.0,400.0
2,19:56:00,-4,374,2586,2014,250.0,8.0,0.0,57.0,86.77,1800.0
2,08:52:00,-3,365,2586,2014,140.0,8.0,0.0,53.0,96.03,500.0
2,15:47:00,-8,42,187,2014,230.0,10.0,0.0,52.0,100.0,300.0
2,06:58:00,-2,155,1069,2016,50.0,5.0,0.0,53.0,100.0,400.0
2,16:34:00,9,156,1089,2000,230.0,11.0,0.0,53.0,100.0,800.0
2,08:01:00,1,33,187,2011,140.0,8.0,0.0,53.0,96.03,500.0
2,06:29:00,-1,156,1089,2015,50.0,5.0,0.0,53.0,100.0,400.0
2,16:52:00,-7,363,2586,2014,230.0,11.0,0.0,53.0,100.0,800.0
2,09:31:00,1,349,2475,2013,330.0,7.0,0.0,51.0,100.0,400.0
2,06:02:00,2,99,541,2013,50.0,5.0,0.0,53.0,100.0,400.0
2,17:26:00,-1,107,541,2000,240.0,9.0,0.0,53.0,100.0,900.0
2,18:29:00,0,234,1521,2013,240.0,9.0,0.0,54.0,96.76,1100.0
2,07:56:00,-4,243,1521,2009,0.0,3.0,0.0,53.0,96.03,400.0
2,13:16:00,-8,314,2153,2017,260.0,5.0,0.0,51.0,100.0,200.0
2,10:25:00,-5,350,2475,2013,160.0,7.0,0.0,52.0,96.73,400.0
2,21:24:00,-5,349,2475,2014,20.0,7.0,0.0,53.0,79.4,3000.0
2,18:02:00,33,351,2475,2013,240.0,9.0,0.0,54.0,96.76,1100.0
2,16:32:00,2,342,2475,2013,230.0,11.0,0.0,53.0,100.0,800.0
